
Student Name:   Neill
Student ID:     123
Student Number: 456
Course:         Garden Design

Student Name:   John Martin
Student ID:     78120189
Student Number: 12345
Course:         Garden Design

Student Name:   Busi Molefe
Student ID:     81011201
Student Number: 23456
Course:         Gourmet Cooking

Student Name:   Sean Naidoo
Student ID:     69812018
Student Number: 34567
Course:         Garden Design

Student Name:   John Martin
Student ID:     78120189
Student Number: 12345
Course:         Garden Design

Student Name:   Busi Molefe
Student ID:     81011201
Student Number: 23456
Course:         Gourmet Cooking

Student Name:   Sean Naidoo
Student ID:     69812018
Student Number: 34567
Course:         Garden Design

Student Name:   
Student ID:     0
Student Number: 0
Course:         

Student Name:   John Martin
Student ID:     78120189
Student Number: 12345
Course:         Garden Design

Student Name:   Busi Molefe
Student ID:     81011201
Student Number: 23456
Course:         Gourmet Cooking

Student Name:   Sean Naidoo
Student ID:     69812018
Student Number: 34567
Course:         Garden Design
